schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescuesched-v2,rescuesched-trace-v2,823f783438d72fa4b0ec37a5919723202728af56e51c0c45fea37db879eeea53,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61161e+07,2.30188e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,47,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,210,373,0.061331,1000000,1200000,0,0,0.353281,353281,5.46744e+06,0,0,0,0,0,1918582,353281,0.0101506,0,0,0,0,0,0,0,0,0,0,167.846,353281,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,823f783438d72fa4b0ec37a5919723202728af56e51c0c45fea37db879eeea53,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61161e+07,2.30188e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,47,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,216,395,0.051689,1000000,1200000,0,0,0.335668,335668,5.27666e+06,0,0,0,0,0,0,0,0,1918582,19758730,2548306,1481724,1428153,335668,335668,0.5,0.5,1,163.185,335668,0.5,0.5,5.27666e+06,53571,8711500,0,7955,327713,2932,0,43227,2932,0.00873482,3207,0.976301,0.0324338,0.976301,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,37d9c5d2623710d60b7d78f32f23e7f86b2b24ca36c7cad83442836fedf94188,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60565e+07,2.3051e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.02e+03,1.52e+03,0.59311,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,37d9c5d2623710d60b7d78f32f23e7f86b2b24ca36c7cad83442836fedf94188,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60565e+07,2.3047e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,164,327,0.057638,1000000,1200000,0,0,0.641769,641769,1.72896e+07,5294017,641769,641769,1921418,4510731,0,0,0,0,0,0,0,0,0,0,0,0,0,130.978,641769,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,37d9c5d2623710d60b7d78f32f23e7f86b2b24ca36c7cad83442836fedf94188,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60565e+07,2.30474e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,209,369,0.057325,1000000,1200000,0,0,0.348153,348153,5.33751e+06,0,0,0,0,0,1921460,348153,0.00917413,0,0,0,0,0,0,0,0,0,0,124.904,348153,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,37d9c5d2623710d60b7d78f32f23e7f86b2b24ca36c7cad83442836fedf94188,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60565e+07,2.30474e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,214,384,0.049065,1000000,1200000,0,0,0.333254,333254,5.181e+06,0,0,0,0,0,0,0,0,1921457,19314885,2273608,1467213,1421609,333254,333254,0.5,0.5,1,126.011,333254,0.5,0.5,5.181e+06,45604,7627219,0,7643,325611,2762,0,40412,2762,0.00828797,3013,0.977066,0.0312224,0.977066,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f38507bf7d0ef7c4c465d8ff59f5b209632a08b1f23d519c32f8b54053204a58,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60213e+07,2.30407e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,71,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.02e+03,1.58e+03,0.591136,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f38507bf7d0ef7c4c465d8ff59f5b209632a08b1f23d519c32f8b54053204a58,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60213e+07,2.30293e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,71,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,161,323,0.055425,1000000,1200000,0,0,0.642933,642933,1.7302e+07,5291553,642933,642933,1919007,4506463,0,0,0,0,0,0,0,0,0,0,0,0,0,142.676,642933,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f38507bf7d0ef7c4c465d8ff59f5b209632a08b1f23d519c32f8b54053204a58,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60213e+07,2.30298e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,71,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,207,368,0.055306,1000000,1200000,0,0,0.346869,346869,5.31119e+06,0,0,0,0,0,1919059,346869,0.00899475,0,0,0,0,0,0,0,0,0,0,130.101,346869,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,f38507bf7d0ef7c4c465d8ff59f5b209632a08b1f23d519c32f8b54053204a58,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60213e+07,2.303e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,71,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,212,376,0.046984,1000000,1200000,0,0,0.333346,333346,5.16555e+06,0,0,0,0,0,0,0,0,1919071,19011757,2041820,1449892,1420427,333346,333346,0.5,0.5,1,132.565,333346,0.5,0.5,5.16555e+06,29465,6717388,0,7356,325990,2665,0,39092,2665,0.0079947,2860,0.977933,0.0300619,0.977933,0,0,0,0,0,0,0
