method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
M0_Proactive,0.2,59,106,106,0,0,0,1000000,1200247
B0_IdealCFCFS,0.25,11,106,106,5e-06,0,0,1000000,1200313
B0_IdealCFCFS,0.25,23,106,106,3e-06,0,0,1000000,1200349
B0_IdealCFCFS,0.25,37,106,106,1e-06,0,0,1000000,1200307
B0_IdealCFCFS,0.25,47,106,106,3e-06,0,0,1000000,1200345
B0_IdealCFCFS,0.25,59,106,106,2e-06,0,0,1000000,1200295
B1_PowerOf2,0.25,11,106,106,0,0,0,1000000,1200302
B1_PowerOf2,0.25,23,106,106,0,0,0,1000000,1200282
B1_PowerOf2,0.25,37,106,106,0,0,0,1000000,1200328
B1_PowerOf2,0.25,47,106,106,0,0,0,1000000,1200302
B1_PowerOf2,0.25,59,106,106,0,0,0,1000000,1200283
B2_Reactive,0.25,11,106,106,0,0,0,1000000,1200304
B2_Reactive,0.25,23,106,106,0,0,0,1000000,1200288
B2_Reactive,0.25,37,106,106,0,8.33129e-07,0,1000000,1200294
B2_Reactive,0.25,47,106,106,0,0,0,1000000,1200287
B2_Reactive,0.25,59,106,106,0,0,0,1000000,1200291
M0_Proactive,0.25,11,106,106,0,0,0,1000000,1200297
M0_Proactive,0.25,23,106,106,0,0,0,1000000,1200277
M0_Proactive,0.25,37,106,106,0,0,0,1000000,1200329
M0_Proactive,0.25,47,106,106,0,0,0,1000000,1200302
M0_Proactive,0.25,59,106,106,0,0,0,1000000,1200283
B0_IdealCFCFS,0.3,11,106,106,2.7e-05,0,0,1000000,1200374
B0_IdealCFCFS,0.3,23,106,106,2.1e-05,0,0,1000000,1200413
B0_IdealCFCFS,0.3,37,106,106,1.5e-05,0,0,1000000,1200389
B0_IdealCFCFS,0.3,47,106,106,3.2e-05,0,0,1000000,1200389
B0_IdealCFCFS,0.3,59,106,106,2.6e-05,0,0,1000000,1200352
B1_PowerOf2,0.3,11,106,106,0,0,0,1000000,1200361
B1_PowerOf2,0.3,23,106,106,0,0,0,1000000,1200356
B1_PowerOf2,0.3,37,106,106,1e-06,0,0,1000000,1200389
B1_PowerOf2,0.3,47,106,106,0,0,0,1000000,1200383
B1_PowerOf2,0.3,59,106,106,1e-06,0,0,1000000,1200339
B2_Reactive,0.3,11,106,106,0,0,0,1000000,1200344
B2_Reactive,0.3,23,106,106,0,0,0,1000000,1200388
B2_Reactive,0.3,37,106,106,0,0,0,1000000,1200360
B2_Reactive,0.3,47,106,106,0,0,0,1000000,1200375
B2_Reactive,0.3,59,106,106,0,8.33049e-07,0,1000000,1200410
M0_Proactive,0.3,11,106,106,0,0,0,1000000,1200365
M0_Proactive,0.3,23,106,106,0,0,0,1000000,1200365
M0_Proactive,0.3,37,106,106,0,0,0,1000000,1200391
M0_Proactive,0.3,47,106,106,0,0,0,1000000,1200378
M0_Proactive,0.3,59,106,106,0,8.3309e-07,0,1000000,1200350
B0_IdealCFCFS,0.35,11,106,106,0.000119,0,0,1000000,1200462
B0_IdealCFCFS,0.35,23,106,106,0.000104,0,0,1000000,1200478
B0_IdealCFCFS,0.35,37,106,106,0.000115,0,0,1000000,1200474
B0_IdealCFCFS,0.35,47,106,106,0.000117,0,0,1000000,1200460
B0_IdealCFCFS,0.35,59,106,106,0.000159,0,0,1000000,1200405
B1_PowerOf2,0.35,11,106,106,9e-06,0,0,1000000,1200425
B1_PowerOf2,0.35,23,106,106,7e-06,0,0,1000000,1200423
B1_PowerOf2,0.35,37,106,106,5e-06,0,0,1000000,1200459
B1_PowerOf2,0.35,47,106,106,5e-06,0,0,1000000,1200433
B1_PowerOf2,0.35,59,106,106,4e-06,0,0,1000000,1200421
B2_Reactive,0.35,11,106,106,0,7.49734e-06,0,1000000,1200426
B2_Reactive,0.35,23,106,106,0,9.16331e-06,0.0909091,1000000,1200439
B2_Reactive,0.35,37,106,106,0,4.16517e-06,0,1000000,1200430
B2_Reactive,0.35,47,106,106,0,6.6642e-06,0.125,1000000,1200444
B2_Reactive,0.35,59,106,106,0,3.33215e-06,0,1000000,1200426
M0_Proactive,0.35,11,106,106,0,5.83128e-06,0,1000000,1200422
M0_Proactive,0.35,23,106,106,0,4.16522e-06,0,1000000,1200418
M0_Proactive,0.35,37,106,106,0,2.49905e-06,0,1000000,1200458
M0_Proactive,0.35,47,106,106,0,8.3303e-06,0,1000000,1200437
M0_Proactive,0.35,59,106,106,0,5.83129e-06,0,1000000,1200421
B0_IdealCFCFS,0.4,11,106,106,0.000434,0,0,1000000,1200522
B0_IdealCFCFS,0.4,23,106,106,0.000419,0,0,1000000,1200524
B0_IdealCFCFS,0.4,37,106,106,0.000398,0,0,1000000,1200505
B0_IdealCFCFS,0.4,47,106,106,0.000384,0,0,1000000,1200521
B0_IdealCFCFS,0.4,59,106,106,0.00048,0,0,1000000,1200487
B1_PowerOf2,0.4,11,106,106,2.8e-05,0,0,1000000,1200493
B1_PowerOf2,0.4,23,106,106,4.1e-05,0,0,1000000,1200481
B1_PowerOf2,0.4,37,106,106,3e-05,0,0,1000000,1200523
B1_PowerOf2,0.4,47,106,106,3.5e-05,0,0,1000000,1200511
B1_PowerOf2,0.4,59,106,106,2.8e-05,0,0,1000000,1200488
B2_Reactive,0.4,11,106,106,0,6.49718e-05,0.102564,1000000,1200520
B2_Reactive,0.4,23,106,106,0,3.91501e-05,0.0425532,1000000,1200508
B2_Reactive,0.4,37,106,106,0,5.66422e-05,0.0588235,1000000,1200518
B2_Reactive,0.4,47,106,106,0,6.16412e-05,0.0810811,1000000,1200495
B2_Reactive,0.4,59,106,106,0,5.33113e-05,0.03125,1000000,1200495
M0_Proactive,0.4,11,106,106,0,3.33203e-05,0,1000000,1200470
M0_Proactive,0.4,23,106,106,0,3.6652e-05,0,1000000,1200479
M0_Proactive,0.4,37,106,106,0,2.99868e-05,0,1000000,1200529
M0_Proactive,0.4,47,106,106,0,3.58178e-05,0,1000000,1200520
M0_Proactive,0.4,59,106,106,0,4.49812e-05,0,1000000,1200502
B0_IdealCFCFS,0.45,11,106,106,0.001222,0,0,1000000,1200583
B0_IdealCFCFS,0.45,23,106,106,0.001294,0,0,1000000,1200589
B0_IdealCFCFS,0.45,37,106,106,0.001159,0,0,1000000,1200575
