source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,P99_us,P999_us,slo_violation_rate,intra_move_rate,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,rescue_success_count,relief_success_count,relief_beneficial_migration_ratio,relief_useless_migration_ratio,predicted_target_unsafe_accept_count,harmful_actual_count,target_induced_miss_actual
w2_boundary,rescue_w2_boundary,W2,0.9,L1_WorkStealing,oracle,0.5,2,0.5,append_tail,10000,10000,0.998413,0.001378,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M0_IntraHostProactive,oracle,0.5,2,0.5,append_tail,10000,10000,1,0.002165,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched,oracle,0.5,2,0.5,append_tail,10000,10000,0.995996,0.000424,1,0,1,523,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoRescuable,oracle,0.5,2,0.5,append_tail,10000,10000,0.997477,0.004849,0,1,0,5963,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.5,append_tail,10000,10000,0.995996,0.000456,1,0,1,563,0,0,0,156,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,2,0.7,append_tail,416,906,0.187091,0.42335,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M0_IntraHostProactive,oracle,0.5,2,0.7,append_tail,330,482,0.131769,0.444564,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched,oracle,0.5,2,0.7,append_tail,10000,10000,0.178573,0.304398,0.999997,0,0.999997,365334,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoRescuable,oracle,0.5,2,0.7,append_tail,264,824,0.109058,0.452557,0.593266,0.40669,0.593266,543073,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.7,append_tail,10000,10000,0.185031,0.301403,0.999994,0,0.999994,361740,0,0,0,2316,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,L1_WorkStealing,oracle,0.5,2,0.7,append_tail,1350,2990,0.410457,0.337166,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M0_IntraHostProactive,oracle,0.5,2,0.7,append_tail,800,1240,0.379647,0.545464,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched,oracle,0.5,2,0.7,append_tail,10000,10000,0.523949,0.189263,0.999996,0,0.999996,227652,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoRescuable,oracle,0.5,2,0.7,append_tail,992,2600,0.317943,0.437608,0.525406,0.474558,0.525406,525135,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.7,append_tail,10000,10000,0.520013,0.194554,0.999981,0,0.999981,234018,0,0,0,17923,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,L1_WorkStealing,oracle,0.5,2,0.7,append_tail,2800,4490,0.620726,0.224852,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M0_IntraHostProactive,oracle,0.5,2,0.7,append_tail,1350,3740,0.635279,0.593944,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched,oracle,0.5,2,0.7,append_tail,10000,10000,0.801424,0.075278,0.999987,0,0.999987,90558,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoRescuable,oracle,0.5,2,0.7,append_tail,2520,4400,0.540205,0.353477,0.446049,0.553932,0.446049,424247,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.7,append_tail,10000,10000,0.805347,0.078068,0.999989,0,0.999989,93918,0,0,0,19012,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,L1_WorkStealing,oracle,0.5,2,0.7,append_tail,10000,10000,0.99684,0.00319,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M0_IntraHostProactive,oracle,0.5,2,0.7,append_tail,10000,10000,1,0.005082,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched,oracle,0.5,2,0.7,append_tail,10000,10000,0.99313,0.000918,1,0,1,1136,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoRescuable,oracle,0.5,2,0.7,append_tail,10000,10000,0.995299,0.010239,0,1,0,12592,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.7,append_tail,10000,10000,0.993244,0.000967,1,0,1,1197,0,0,0,304,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.3,append_tail,406,770,0.18125,0.392472,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.3,append_tail,330,484,0.131942,0.435513,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched,oracle,0.5,4,0.3,append_tail,1450,2970,0.101232,0.32954,0.999982,0,0.999982,395459,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoRescuable,oracle,0.5,4,0.3,append_tail,314,704,0.119152,0.427738,0.591709,0.408246,0.591709,513306,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.3,append_tail,1440,2930,0.10363,0.330047,0.99997,0,0.99997,396070,0,0,0,10232,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,L1_WorkStealing,oracle,0.5,4,0.3,append_tail,1130,2200,0.415605,0.298646,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M0_IntraHostProactive,oracle,0.5,4,0.3,append_tail,812,1190,0.379476,0.536949,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched,oracle,0.5,4,0.3,append_tail,4250,8890,0.347448,0.271702,0.999991,0,0.999991,326084,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoRescuable,oracle,0.5,4,0.3,append_tail,986,2140,0.329698,0.405624,0.538504,0.461467,0.538504,486753,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.3,append_tail,4200,7020,0.34868,0.276626,0.999988,0,0.999988,331992,0,0,0,25933,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.3,append_tail,2110,3920,0.632375,0.191328,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.3,append_tail,1420,3260,0.634835,0.584468,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched,oracle,0.5,4,0.3,append_tail,8200,10000,0.621954,0.160944,0.999995,0,0.999995,193191,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoRescuable,oracle,0.5,4,0.3,append_tail,2020,3730,0.55349,0.318263,0.474613,0.525361,0.474613,381997,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.3,append_tail,8200,10000,0.634451,0.163883,0.999995,0,0.999995,196714,0,0,0,34500,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,L1_WorkStealing,oracle,0.5,4,0.3,append_tail,10000,10000,0.999863,0.000122,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M0_IntraHostProactive,oracle,0.5,4,0.3,append_tail,10000,10000,1,0.00009,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched,oracle,0.5,4,0.3,append_tail,10000,10000,0.999773,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoRescuable,oracle,0.5,4,0.3,append_tail,10000,10000,0.999804,0.000372,0,1,0,458,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.3,append_tail,10000,10000,0.999771,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,422,806,0.182281,0.402041,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,330,486,0.132095,0.437524,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched,oracle,0.5,4,0.5,append_tail,2650,5440,0.106947,0.331363,0.999995,0,0.999995,397650,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoRescuable,oracle,0.5,4,0.5,append_tail,280,774,0.114417,0.43726,0.590688,0.409251,0.590688,524729,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.5,append_tail,2650,5500,0.108387,0.331487,0.999972,0,0.999972,397800,0,0,0,7588,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,1180,2330,0.412169,0.310769,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,806,1210,0.379459,0.538849,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched,oracle,0.5,4,0.5,append_tail,7320,10000,0.38208,0.257312,0.999984,0,0.999984,308885,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoRescuable,oracle,0.5,4,0.5,append_tail,956,2110,0.32039,0.422226,0.533312,0.466651,0.533312,506676,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.5,append_tail,6830,10000,0.376874,0.264242,0.999979,0,0.999979,317197,0,0,0,22159,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,2300,3810,0.626648,0.203458,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,1370,3710,0.63511,0.587538,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,10000,10000,0.687816,0.129427,0.999984,0,0.999984,155403,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoRescuable,oracle,0.5,4,0.5,append_tail,2180,3690,0.542989,0.33731,0.461836,0.538149,0.461836,404845,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.5,append_tail,10000,10000,0.681988,0.139755,0.999992,0,0.999992,167800,0,0,0,29894,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,10000,10000,0.999282,0.000725,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,10000,10000,1,0.000616,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched,oracle,0.5,4,0.5,append_tail,10000,10000,0.999131,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoRescuable,oracle,0.5,4,0.5,append_tail,10000,10000,0.998945,0.002101,0,1,0,2583,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoTargetSafety,oracle,0.5,4,0.5,append_tail,10000,10000,0.99915,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.7,append_tail,424,816,0.188373,0.41286,0,0,0,0,0,0,0,0,0,0
