source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,metric,n,mean,median,ci95_low,ci95_high
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,intra_move_rate,10,0.307084,0.307499,0.305872,0.308296
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,beneficial_migration_ratio,10,0.98973,0.989715,0.989529,0.989931
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,useless_migration_ratio,10,0.013492,0.013521,0.013237,0.013748
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,rescue_per_migration,10,0.98973,0.989715,0.989529,0.989931
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,10,0,0,0,0
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,harmful_actual_count,10,1194,1200,1168,1220
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,target_induced_miss_actual,10,1197,1204,1171,1224
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P99_us,10,222,221,216.81985,227.18015
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P999_us,10,368.8,366,360.987454,376.612546
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,slo_violation_rate,10,0.20377,0.202958,0.200519,0.20702
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,intra_move_rate,10,0.327798,0.328147,0.326033,0.329564
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,rescue_per_migration,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,harmful_actual_count,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P99_us,10,196,195,191.279213,200.720787
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,P999_us,10,348.2,348,345.382824,351.017176
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,slo_violation_rate,10,0.153904,0.152486,0.149875,0.157934
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,intra_move_rate,10,0.399957,0.399951,0.398183,0.401731
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,rescue_per_migration,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,harmful_actual_count,10,0,0,0,0
estimator_main,rescue_estimator_w3_baseline,W3,0.85,M0_IntraHostProactive,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,10,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P99_us,5,381.2,372,326.615058,435.784942
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,P999_us,5,788.4,806,681.844984,894.955016
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,slo_violation_rate,5,0.184572,0.182498,0.174923,0.194222
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,intra_move_rate,5,0.401272,0.401987,0.398306,0.404237
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,rescue_per_migration,5,0,0,0,0
estimator_w2,rescue_w2_estimator_baseline,W2,0.7,L1_WorkStealing,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,5,0,0,0,0
