profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
candidates-8,k-candidates,8,W2,0.85,L0_RandomCore,5,0.6464,0.15134524349634906,1140.0,1330.0,0.0,0.0,0.0,0.0,0.0,1.0116,0.0,0.0,0.0,0.6464
candidates-8,k-candidates,8,W2,0.85,L1_WorkStealingPolling,5,0.0674,0.4211218505940746,163.0,229.0,0.7028690731707318,0.6662,0.0,0.0,0.0,3.011,0.0,0.0,0.0,0.0674
candidates-8,k-candidates,8,W2,0.85,M0_AltoThreshold,5,0.0694,0.4207889453598365,195.0,205.0,0.2781080975609756,0.4712,0.0,0.0,0.0,19.675,0.0,0.0,0.0,0.0694
candidates-8,k-candidates,8,W2,0.85,M1_RescueSched,5,0.0434,0.42671448581038285,196.0,495.0,0.25098096865191305,0.4214,0.4214,0.0,0.0,60.4682,0.0,0.4214,0.0032543,0.0746903
candidates-8,k-candidates,8,W3,0.7,L0_RandomCore,5,0.3908,0.23275202692366528,720.0,814.0,0.0,0.0,0.0,12.0693,25.2652,1.0074,0.0,0.0,0.0,0.3908
candidates-8,k-candidates,8,W3,0.7,L1_WorkStealingPolling,5,0.0076,0.38560152443511464,152.0,320.0,0.6646676764894887,0.6534,0.0,12.0752,25.2549,3.353,0.0,0.0,0.0,0.0076
candidates-8,k-candidates,8,W3,0.7,M0_AltoThreshold,5,0.0228,0.37934186471663617,199.0,386.0,0.14485394692847808,0.2478,0.0,12.0552,25.3234,14.9016,0.0,0.0,0.0,0.0228
candidates-8,k-candidates,8,W3,0.7,M1_RescueSched,5,0.0188,0.38003904192358934,197.0,375.0,0.14686388644031734,0.2532,0.2532,12.0251,25.2875,30.0722,0.0,0.2532,0.00569569,0.0235973
candidates-8,k-candidates,8,W3,0.85,L0_RandomCore,5,0.5952,0.18531234835791655,916.0,1040.0,0.0,0.0,0.0,12.2326,25.47,1.0132,0.0,0.0,0.0,0.5952
candidates-8,k-candidates,8,W3,0.85,L1_WorkStealingPolling,5,0.0404,0.44783919222837093,159.0,320.0,0.6823701086142027,0.665,0.0,12.0801,25.2969,2.944,0.0,0.0,0.0,0.0404
candidates-8,k-candidates,8,W3,0.85,M0_AltoThreshold,5,0.0454,0.4427972391272079,208.0,387.0,0.20714915346971033,0.3508,0.0,11.9929,25.241,19.7402,0.0,0.0,0.0,0.0454
candidates-8,k-candidates,8,W3,0.85,M1_RescueSched,5,0.0404,0.44487301925805045,214.0,388.0,0.20389546803757766,0.339,0.339,12.0275,25.2783,47.115,0.0,0.339,0.0163743,0.0528875
candidates-8,k-candidates,8,W3,0.9,L0_RandomCore,5,0.67,0.15275823978700706,1070.0,1160.0,0.0,0.0,0.0,12.1575,25.4038,1.0158,0.0,0.0,0.0,0.67
candidates-8,k-candidates,8,W3,0.9,L1_WorkStealingPolling,5,0.096,0.44615536472213996,159.0,320.0,0.6153940849265934,0.5812,0.0,12.0604,25.2821,2.8384,0.0,0.0,0.0,0.096
candidates-8,k-candidates,8,W3,0.9,M0_AltoThreshold,5,0.0856,0.44815181485801664,212.0,387.0,0.2430355025988632,0.3996,0.0,12.0669,25.2999,24.8978,0.0,0.0,0.0,0.0856
candidates-8,k-candidates,8,W3,0.9,M1_RescueSched,5,0.0692,0.4558678042138876,220.0,395.0,0.22243795709783043,0.3516,0.3516,12.0548,25.3001,67.6308,0.0,0.3516,0.0301479,0.0942075
check-2,check-period-us,2,W2,0.85,L0_RandomCore,5,0.6464,0.15134524349634906,1140.0,1330.0,0.0,0.0,0.0,0.0,0.0,1.0116,0.0,0.0,0.0,0.6464
check-2,check-period-us,2,W2,0.85,L1_WorkStealingPolling,5,0.0674,0.4211218505940746,163.0,229.0,0.7028690731707318,0.6662,0.0,0.0,0.0,3.011,0.0,0.0,0.0,0.0674
check-2,check-period-us,2,W2,0.85,M0_AltoThreshold,5,0.0816,0.415452818239392,195.0,209.0,0.2822532682926829,0.4594,0.0,0.0,0.0,14.7662,0.0,0.0,0.0,0.0816
check-2,check-period-us,2,W2,0.85,M1_RescueSched,5,0.0638,0.42256826901376665,199.0,323.0,0.24892844372044978,0.4168,0.4168,0.0,0.0,40.35,0.0,0.4168,0.00332226,0.107427
check-2,check-period-us,2,W3,0.7,L0_RandomCore,5,0.3908,0.23275202692366528,720.0,814.0,0.0,0.0,0.0,12.0693,25.2652,1.0074,0.0,0.0,0.0,0.3908
check-2,check-period-us,2,W3,0.7,L1_WorkStealingPolling,5,0.0076,0.38560152443511464,152.0,320.0,0.6646676764894887,0.6534,0.0,12.0752,25.2549,3.353,0.0,0.0,0.0,0.0076
check-2,check-period-us,2,W3,0.7,M0_AltoThreshold,5,0.025,0.3784122951073653,198.0,378.0,0.14498085048177758,0.2482,0.0,12.0203,25.2841,8.9148,0.0,0.0,0.0,0.025
check-2,check-period-us,2,W3,0.7,M1_RescueSched,5,0.02,0.38064631872889093,199.0,375.0,0.14732514666099275,0.2536,0.2536,12.037,25.2958,16.4978,0.0,0.2536,0.0055205,0.0246813
check-2,check-period-us,2,W3,0.85,L0_RandomCore,5,0.5952,0.18531234835791655,916.0,1040.0,0.0,0.0,0.0,12.2326,25.47,1.0132,0.0,0.0,0.0,0.5952
check-2,check-period-us,2,W3,0.85,L1_WorkStealingPolling,5,0.0404,0.44783919222837093,159.0,320.0,0.6823701086142027,0.665,0.0,12.0801,25.2969,2.944,0.0,0.0,0.0,0.0404
check-2,check-period-us,2,W3,0.85,M0_AltoThreshold,5,0.0542,0.43828024356110806,208.0,381.0,0.20173561506428767,0.3354,0.0,12.0194,25.2945,11.9584,0.0,0.0,0.0,0.0542
check-2,check-period-us,2,W3,0.85,M1_RescueSched,5,0.0436,0.4435581114924404,213.0,389.0,0.20528779950426881,0.3378,0.3378,12.0708,25.2905,26.085,0.0,0.3378,0.0193776,0.0561116
check-2,check-period-us,2,W3,0.9,L0_RandomCore,5,0.67,0.15275823978700706,1070.0,1160.0,0.0,0.0,0.0,12.1575,25.4038,1.0158,0.0,0.0,0.0,0.67
