profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
candidates-8,k-candidates,8,W3,0.85,M0_AltoThreshold,5,0.009040000000000001,0.002760000000000001,0.01676,0.1810897435897436,1.0288461538461537,1.0025839793281655,0.20389546803757766,0.20714915346971033,0.015706969483746502,1
candidates-8,k-candidates,8,W3,0.9,L1_WorkStealingPolling,5,0.020360000000000003,0.01184,0.02952000000000001,0.18495639534883723,1.3836477987421383,1.234375,0.22243795709783043,0.6153940849265934,0.6385438818048378,1
candidates-8,k-candidates,8,W3,0.9,M0_AltoThreshold,5,0.021320000000000006,0.004960000000000001,0.038480000000000014,0.19200288184438044,1.0377358490566038,1.020671834625323,0.22243795709783043,0.2430355025988632,0.08475117948108835,1
check-2,check-period-us,2,W2,0.85,L1_WorkStealingPolling,5,0.05376,0.020120000000000002,0.09196000000000001,0.2399571505088377,1.2208588957055215,1.4104803493449782,0.24892844372044978,0.7028690731707318,0.6458395265600435,1
check-2,check-period-us,2,W2,0.85,M0_AltoThreshold,5,0.07164,0.015560000000000004,0.13699999999999998,0.2961309523809524,1.0205128205128204,1.5454545454545454,0.24892844372044978,0.2822532682926829,0.11806709900583645,1
check-2,check-period-us,2,W3,0.7,L1_WorkStealingPolling,5,-0.01164,-0.01404,-0.00944,-1.4477611940298507,1.3092105263157894,1.171875,0.14732514666099275,0.6646676764894887,0.7783476587290873,1
check-2,check-period-us,2,W3,0.7,M0_AltoThreshold,5,0.0050799999999999994,0.00388,0.005959999999999999,0.20516962843295636,1.005050505050505,0.9920634920634921,0.14732514666099275,0.14498085048177758,-0.016169695317864274,1
check-2,check-period-us,2,W3,0.85,L1_WorkStealingPolling,5,0.00352,-0.0012799999999999992,0.01036,0.07426160337552744,1.3396226415094339,1.215625,0.20528779950426881,0.6823701086142027,0.699154759400028,1
check-2,check-period-us,2,W3,0.85,M0_AltoThreshold,5,0.011439999999999997,0.0072799999999999965,0.017639999999999992,0.2067968185104844,1.0240384615384615,1.020997375328084,0.20528779950426881,0.20173561506428767,-0.017608117628853837,1
check-2,check-period-us,2,W3,0.9,L1_WorkStealingPolling,5,0.01744,0.010480000000000001,0.024399999999999998,0.15843023255813954,1.3962264150943395,1.209375,0.22255041463937086,0.6153940849265934,0.6383611411118495,1
check-2,check-period-us,2,W3,0.9,M0_AltoThreshold,5,0.021400000000000006,0.009080000000000001,0.03432000000000001,0.18765345492809546,1.023041474654378,1.0,0.22255041463937086,0.23587951001550198,0.056508067933730755,1
check-5,check-period-us,5,W2,0.85,L1_WorkStealingPolling,5,-0.045599999999999995,-0.09280000000000001,0.0016000000000000124,-0.2035350830208891,1.361963190184049,1.3406113537117903,0.2417849756097561,0.7028690731707318,0.6560028249371774,1
check-5,check-period-us,5,W2,0.85,M0_AltoThreshold,5,0.05996,0.0014799999999999924,0.13607999999999998,0.18191747572815534,0.844106463878327,0.6777041942604857,0.2417849756097561,0.24123091090476556,-0.002296823002128745,1
check-5,check-period-us,5,W3,0.7,L1_WorkStealingPolling,5,-0.02752,-0.033159999999999995,-0.02384,-3.4228855721393034,1.3421052631578947,1.171875,0.14363886440317333,0.6646676764894887,0.783893711874456,1
check-5,check-period-us,5,W3,0.7,M0_AltoThreshold,5,0.008640000000000002,0.007120000000000001,0.010160000000000002,0.19547511312217197,1.0303030303030303,1.0,0.14363886440317333,0.13743382600446769,-0.04514928077825564,1
check-5,check-period-us,5,W3,0.85,L1_WorkStealingPolling,5,-0.05212,-0.06688,-0.0404,-1.09957805907173,1.3522012578616351,1.2125,0.18557100890480124,0.6823701086142027,0.7280493290046515,1
check-5,check-period-us,5,W3,0.85,M0_AltoThreshold,5,0.01012,0.0036800000000000053,0.014079999999999995,0.09230207953301715,1.0287081339712918,1.0183727034120735,0.18557100890480124,0.18238776254597405,-0.01745317950279035,1
check-5,check-period-us,5,W3,0.9,L1_WorkStealingPolling,5,-0.06368,-0.07343999999999999,-0.05532000000000001,-0.5784883720930233,1.4968553459119496,1.265625,0.2023891303687042,0.6153940849265934,0.6711227239162594,1
check-5,check-period-us,5,W3,0.9,M0_AltoThreshold,5,0.011519999999999997,0.001599999999999996,0.01964,0.06217616580310879,1.0818181818181818,1.0465116279069768,0.2023891303687042,0.20123559986625733,-0.005732238745100426,1
