scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_budget_sweep,W3,M1_RescueSched,0.85,47,1,2,1,16,4,1,1,260,580,0.09697,1000000,1200116,0,0,0.285507,342642,6.04941e+06,0,0,0,0,0,0,1764216,34110974,11605073,1721697,1354450,342642,6.04941e+06,367247,44698595,0,0,342634,0,0.999977,0,0.999977
rescue_budget_sweep,W3,M1_RescueSched,0.85,59,1,2,1,16,4,1,1,252,524,0.092748,1000000,1200025,0,0,0.285102,342130,6.0098e+06,0,0,0,0,0,0,1766838,33220548,10933634,1715488,1359414,342130,6.0098e+06,356074,42019048,0,0,342124,0,0.999982,0,0.999982
rescue_budget_sweep,W3,M1_RescueSched,0.85,11,1,2,2,16,4,1,1,264,604,0.103163,1000000,1200019,0,0,0.29185,350225,6.16542e+06,0,0,0,0,0,0,1765220,34367771,11212626,1704868,1223365,350225,6.16542e+06,481503,43145636,0,12176,338044,0,0.96522,0.0347662,0.96522
rescue_budget_sweep,W3,M1_RescueSched,0.85,23,1,2,2,16,4,1,1,252,534,0.100536,1000000,1200033,0,0,0.292199,350648,6.16783e+06,0,0,0,0,0,0,1764157,33808359,10636197,1663709,1228992,350648,6.16783e+06,434717,40881079,0,12198,338445,0,0.965199,0.034787,0.965199
rescue_budget_sweep,W3,M1_RescueSched,0.85,37,1,2,2,16,4,1,1,256,576,0.102738,1000000,1200046,0,0,0.293988,352799,6.22389e+06,0,0,0,0,0,0,1764523,34134875,10908140,1624931,1230941,352799,6.22389e+06,393990,42007629,0,12195,340589,0,0.965391,0.0345664,0.965391
rescue_budget_sweep,W3,M1_RescueSched,0.85,47,1,2,2,16,4,1,1,258,588,0.105531,1000000,1200102,0,0,0.291838,350235,6.18389e+06,0,0,0,0,0,0,1764202,34541451,11282206,1638581,1219549,350235,6.18389e+06,419032,43490243,0,12129,338098,0,0.965346,0.034631,0.965346
rescue_budget_sweep,W3,M1_RescueSched,0.85,59,1,2,2,16,4,1,1,252,524,0.100401,1000000,1200026,0,0,0.29138,349663,6.13651e+06,0,0,0,0,0,0,1766841,33625419,10586400,1656777,1227218,349663,6.13651e+06,429559,40688823,0,11829,337827,0,0.96615,0.0338297,0.96615
rescue_budget_sweep,W3,M1_RescueSched,0.85,11,1,2,4,16,4,1,1,268,586,0.105792,1000000,1200022,0,0,0.295632,354765,6.24605e+06,0,0,0,0,0,0,1765231,34467486,10903873,1721889,1213878,354765,6.24605e+06,508011,41893603,0,18509,336250,0,0.947811,0.0521726,0.947811
rescue_budget_sweep,W3,M1_RescueSched,0.85,23,1,2,4,16,4,1,1,256,514,0.103087,1000000,1200030,0,0,0.295896,355084,6.23783e+06,0,0,0,0,0,0,1764157,33896696,10370093,1723467,1221772,355084,6.23783e+06,501695,39756905,0,18225,336855,0,0.948663,0.0513259,0.948663
rescue_budget_sweep,W3,M1_RescueSched,0.85,37,1,2,4,16,4,1,1,256,540,0.105376,1000000,1200055,0,0,0.298038,357662,6.30084e+06,0,0,0,0,0,0,1764532,34018627,10416121,1658761,1220992,357662,6.30084e+06,437769,40005723,0,19129,338514,0,0.946463,0.0534835,0.946463
rescue_budget_sweep,W3,M1_RescueSched,0.85,47,1,2,4,16,4,1,1,258,578,0.107261,1000000,1200103,0,0,0.295802,354993,6.26111e+06,0,0,0,0,0,0,1764196,34464803,10827645,1665828,1211187,354993,6.26111e+06,454641,41644752,0,18672,336311,0,0.947374,0.0525982,0.947374
rescue_budget_sweep,W3,M1_RescueSched,0.85,59,1,2,4,16,4,1,1,252,516,0.102874,1000000,1200025,0,0,0.295445,354541,6.21904e+06,0,0,0,0,0,0,1766839,33615236,10193800,1700664,1219129,354541,6.21904e+06,481535,39074536,0,18580,335955,0,0.947577,0.0524058,0.947577
