scenario,workload,rho,method,metric,n,mean,median,p25,p75,ci95_low,ci95_high,ci95_half_width
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,P99_us,10,196,195,190,196,191.279213,200.720787,4.720787
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,P999_us,10,348.2,348,344,350,345.382824,351.017176,2.817176
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,slo_violation_rate,10,0.153904,0.152486,0.149678,0.156097,0.149875,0.157934,0.004029
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,intra_move_rate,10,0.399957,0.399951,0.397911,0.400825,0.398183,0.401731,0.001774
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,beneficial_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,rescue_per_migration,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M0_IntraHostProactive,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,P99_us,10,263,261,254,262,253.673535,272.326465,9.326465
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,P999_us,10,639.8,569,548,588,532.624901,746.975099,107.175099
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,slo_violation_rate,10,0.095612,0.094485,0.092833,0.095702,0.092662,0.098563,0.002951
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,intra_move_rate,10,0.286036,0.285965,0.285507,0.286371,0.285206,0.286865,0.00083
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,beneficial_migration_ratio,10,0.999982,0.999984,0.999977,0.999986,0.999976,0.999989,0.000007
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,rescue_per_migration,10,0.999982,0.999984,0.999977,0.999986,0.999976,0.999989,0.000007
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,P99_us,10,212.8,212,208,214,208.419007,217.180993,4.380993
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,P999_us,10,367.6,365,362,372,360.405718,374.794282,7.194282
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,slo_violation_rate,10,0.170561,0.169913,0.165851,0.17185,0.166784,0.174338,0.003777
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,intra_move_rate,10,0.500388,0.500861,0.499983,0.501468,0.498751,0.502025,0.001637
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,beneficial_migration_ratio,10,0.310989,0.310767,0.310435,0.311141,0.310283,0.311695,0.000706
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,useless_migration_ratio,10,0.688983,0.68922,0.688458,0.689425,0.688276,0.68969,0.000707
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,rescue_per_migration,10,0.310989,0.310767,0.310435,0.311141,0.310283,0.311695,0.000706
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoRescuable,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,P99_us,10,253.8,251,246,254,244.841668,262.758332,8.958332
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,P999_us,10,569.2,539,514,590,520.71739,617.68261,48.48261
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,slo_violation_rate,10,0.096228,0.095409,0.093824,0.095874,0.093114,0.099343,0.003114
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,intra_move_rate,10,0.286182,0.286196,0.285845,0.286237,0.285326,0.287037,0.000855
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,beneficial_migration_ratio,10,0.99998,0.999981,0.999971,0.999985,0.999971,0.999989,0.000009
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,rescue_per_migration,10,0.99998,0.999981,0.999971,0.999985,0.999971,0.999989,0.000009
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,predicted_target_unsafe_accept_count,10,8787,8652,8436,8898,8250,9324,537.336337
rescue_w3_robustness_10seed,W3,0.85,M1_RescueSched_NoTargetSafety,harmful_actual_count,10,0,0,0,0,0,0,0
