profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
epsilon-0,epsilon-us,0,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
epsilon-0,epsilon-us,0,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
epsilon-0,epsilon-us,0,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
epsilon-0,epsilon-us,0,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
epsilon-0,epsilon-us,0,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
epsilon-0,epsilon-us,0,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
epsilon-0,epsilon-us,0,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
epsilon-0,epsilon-us,0,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
epsilon-5,epsilon-us,5,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
epsilon-5,epsilon-us,5,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
epsilon-5,epsilon-us,5,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
epsilon-5,epsilon-us,5,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
epsilon-5,epsilon-us,5,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
epsilon-5,epsilon-us,5,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
epsilon-5,epsilon-us,5,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
epsilon-5,epsilon-us,5,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
ewma-0.01,ewma-alpha,0.01,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
ewma-0.01,ewma-alpha,0.01,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
ewma-0.01,ewma-alpha,0.01,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.12966636755204594,0.5687778176597272,0.7720263281617301,1
ewma-0.01,ewma-alpha,0.01,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.12966636755204594,0.12966636755204594,0.0,1
ewma-0.01,ewma-alpha,0.01,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15097666905958362,0.6858686288585786,0.7798752374622546,1
ewma-0.01,ewma-alpha,0.01,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15097666905958362,0.15097666905958362,0.0,1
ewma-0.01,ewma-alpha,0.01,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.16178481694185212,0.6729468772433597,0.7595875359365916,1
ewma-0.01,ewma-alpha,0.01,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16178481694185212,0.15959834888729363,-0.013699816256260489,1
ewma-0.20,ewma-alpha,0.20,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
ewma-0.20,ewma-alpha,0.20,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
ewma-0.20,ewma-alpha,0.20,W3,0.7,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.1878453038674033,1.006993006993007,0.13334745154343144,0.6016098348887293,0.7783489500830805,1
ewma-0.20,ewma-alpha,0.20,W3,0.7,M0_AltoThreshold,1,0.005000000000000001,0.005000000000000001,0.005000000000000001,0.20000000000000004,1.0,1.0,0.13334745154343144,0.13315829145728642,-0.0014205655845749288,1
ewma-0.20,ewma-alpha,0.20,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.1611521895190237,0.7313801148600143,0.7796601435494754,1
ewma-0.20,ewma-alpha,0.20,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1611521895190237,0.15817785355348168,-0.01880374463759149,1
ewma-0.20,ewma-alpha,0.20,W3,0.9,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.430939226519337,1.048951048951049,0.16959583632447955,0.7570477386934674,0.775977355645798,1
ewma-0.20,ewma-alpha,0.20,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16959583632447955,0.16959583632447955,0.0,1
handoff-0,handoff-us,0,W2,0.85,L1_WorkStealingPolling,1,0.01,0.01,0.01,1.0,1.794392523364486,1.8256880733944953,0.25024638912489383,0.72982158028887,0.6571129220023282,1
handoff-0,handoff-us,0,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,,1.0,1.0,0.25024638912489383,0.25024638912489383,0.0,1
handoff-0,handoff-us,0,W3,0.7,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.1944444444444444,1.006993006993007,0.12990900933237615,0.5482250538406317,0.763037080442988,1
handoff-0,handoff-us,0,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.12990900933237615,0.12990900933237615,0.0,1
handoff-0,handoff-us,0,W3,0.85,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.3888888888888888,1.0384615384615385,0.1426832376166547,0.667654343144293,0.7862917554842924,1
handoff-0,handoff-us,0,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1426832376166547,0.1426832376166547,0.0,1
handoff-0,handoff-us,0,W3,0.9,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.4388888888888889,1.048951048951049,0.1625480976310122,0.715245872218234,0.7727381534871467,1
